epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5378.25,0.67377,1.12023,1.16412,0.71006,0.6838,0.7489,0.63161,0.62427,0.93741,1.09952,0.005842,0.005842,0.005842
44,5503.66,0.67374,1.10934,1.16489,0.71897,0.68247,0.75052,0.6333,0.62384,0.93367,1.09953,0.005743,0.005743,0.005743
45,5629.03,0.67055,1.09324,1.16181,0.72945,0.67554,0.75296,0.6361,0.62298,0.9289,1.09855,0.005644,0.005644,0.005644
46,5754.04,0.66732,1.0847,1.15771,0.72226,0.68523,0.75571,0.63896,0.62206,0.92604,1.09809,0.005545,0.005545,0.005545
47,5879.43,0.66491,1.07224,1.15511,0.72419,0.68821,0.75687,0.64028,0.62157,0.92274,1.09743,0.005446,0.005446,0.005446
48,6005.24,0.6623,1.06583,1.15475,0.71728,0.6959,0.75888,0.64219,0.62105,0.91982,1.09697,0.005347,0.005347,0.005347
49,6131.22,0.65943,1.04711,1.15116,0.70563,0.70938,0.75954,0.64255,0.62008,0.91705,1.09597,0.005248,0.005248,0.005248
50,6256.83,0.65484,1.04623,1.14768,0.71973,0.70215,0.7615,0.64443,0.61869,0.91376,1.09406,0.005149,0.005149,0.005149
51,6382.7,0.65619,1.03246,1.14952,0.7252,0.70174,0.76288,0.64555,0.61761,0.90893,1.09324,0.00505,0.00505,0.00505
52,6508.24,0.65469,1.02461,1.14886,0.72758,0.70103,0.76477,0.6476,0.6163,0.90689,1.09171,0.004951,0.004951,0.004951
53,6634.62,0.64903,1.01548,1.14451,0.72703,0.70067,0.76681,0.64866,0.61542,0.90284,1.09116,0.004852,0.004852,0.004852
54,6760.82,0.65052,1.01006,1.14436,0.71381,0.70962,0.76813,0.64959,0.61377,0.90036,1.08974,0.004753,0.004753,0.004753
55,6887.11,0.64682,0.9976,1.14216,0.70815,0.71703,0.76955,0.65148,0.61271,0.89648,1.0891,0.004654,0.004654,0.004654
56,7012.64,0.64268,0.9912,1.13851,0.71063,0.72138,0.77116,0.65282,0.6127,0.8928,1.08893,0.004555,0.004555,0.004555
57,7138.5,0.63893,0.97579,1.13746,0.70844,0.72343,0.7726,0.65442,0.61273,0.88968,1.08864,0.004456,0.004456,0.004456
58,7264.83,0.636,0.96383,1.13537,0.7002,0.73459,0.77381,0.65602,0.61147,0.88664,1.08735,0.004357,0.004357,0.004357
59,7391.28,0.63356,0.95408,1.13369,0.70894,0.72768,0.77597,0.6576,0.61119,0.88274,1.08704,0.004258,0.004258,0.004258
60,7517.52,0.63341,0.95589,1.13318,0.71287,0.72741,0.77765,0.65946,0.61085,0.87954,1.08674,0.004159,0.004159,0.004159
61,7643.42,0.63257,0.94363,1.13351,0.7179,0.72586,0.77891,0.65985,0.61082,0.87598,1.0865,0.00406,0.00406,0.00406
62,7768.69,0.62708,0.94127,1.12796,0.71659,0.73577,0.77962,0.66042,0.61022,0.87234,1.08594,0.003961,0.003961,0.003961
63,7894.81,0.62725,0.92135,1.12921,0.76654,0.69684,0.7804,0.66112,0.60984,0.86932,1.0853,0.003862,0.003862,0.003862
64,8021.5,0.62424,0.91919,1.12697,0.7225,0.73012,0.78235,0.66326,0.60956,0.86686,1.08512,0.003763,0.003763,0.003763
65,8146.98,0.6242,0.90522,1.12712,0.73542,0.72525,0.78327,0.66397,0.60896,0.86332,1.08433,0.003664,0.003664,0.003664
66,8272.32,0.61911,0.89128,1.12183,0.73764,0.72553,0.78433,0.66512,0.60821,0.8602,1.0831,0.003565,0.003565,0.003565
67,8397.44,0.62074,0.89526,1.1241,0.74298,0.72465,0.78599,0.6664,0.60742,0.85758,1.08199,0.003466,0.003466,0.003466
68,8523.18,0.61749,0.88925,1.12225,0.74588,0.72274,0.7874,0.6676,0.6066,0.85545,1.08103,0.003367,0.003367,0.003367
69,8649.14,0.60976,0.86679,1.11656,0.74714,0.72008,0.78759,0.66941,0.60637,0.85235,1.08072,0.003268,0.003268,0.003268
70,8775.63,0.61218,0.85853,1.11686,0.7383,0.73474,0.78894,0.67066,0.6063,0.85015,1.08027,0.003169,0.003169,0.003169
71,8901.46,0.60193,0.85115,1.11292,0.73612,0.73357,0.79013,0.6718,0.6063,0.84734,1.08016,0.00307,0.00307,0.00307
72,9026.49,0.60214,0.83898,1.11039,0.73768,0.73058,0.79112,0.67318,0.60622,0.84589,1.08009,0.002971,0.002971,0.002971
73,9152.6,0.60329,0.83711,1.11151,0.73404,0.73246,0.79216,0.6742,0.60492,0.8436,1.07873,0.002872,0.002872,0.002872
